playlist_idx,cluster,relevance,diversity,serendipity
2572,3,0.346507500423311,0.5481941816734035,0.20014230708983094
2579,1,0.5531062644611494,0.32403105578263547,0.2750359719024891
2586,0,0.6804683106361318,0.2708596373704052,0.31799433198698207
2588,3,0.584895766739831,0.44831662499549896,0.15933471996111603
2593,2,0.4357393030187339,0.38405380834452874,0.11760225616821977
2610,0,0.5760690554733855,0.39704593205158756,0.13144662527572135
2611,0,0.5214843262650429,0.2852975634607404,0.22862774482477247
2613,0,0.45869633058959397,0.4464310494468351,0.1973930797043212
2615,1,0.6501168692771009,0.3034084673337635,0.12310454325577601
2626,1,0.6545938802076894,0.3051943495710432,0.11118331038912121
2627,2,0.6384310276473067,0.3372329048178837,0.1396685735309289
2639,2,0.6270312792264685,0.345340412038843,0.1332788367823891
2666,3,0.4562786720819063,0.546251361991325,0.20796818072612475
2677,2,0.6365338169445481,0.34679947739104366,0.12718737183297146
2678,1,0.6576010609411332,0.3289372295790066,0.14936907319592604
2704,2,0.45836995920829726,0.4837503218500846,0.27680412439281876
2718,1,0.7034115759788736,0.32333476806477424,0.12797875228622868
2722,2,0.648468032185186,0.34463797209007874,0.12358540941121818
2724,3,0.4987406981021011,0.49829146178174555,0.19804549829332407
2726,0,0.6030478746960175,0.37913195292561974,0.2692099043391043
2729,1,0.7312318162740111,0.26118516674783554,0.14665355156255253
2737,1,0.5902398002169564,0.44546409529448816,0.22969135104353672
2740,2,0.680902516461988,0.3252861117040494,0.17949585909568488
2750,3,0.4647987474325712,0.46961652218081584,0.19165693876980455
2752,1,0.6491199239776223,0.32805606303936696,0.2114300271876021
2758,2,0.583682166112209,0.28908925356942017,0.09917427256075867
2783,3,0.5972262391546728,0.3412829924497487,0.14887260567961166
2810,1,0.6487838773881184,0.3226030558756098,0.11890330595929442
2811,3,0.5431061613790508,0.48609854383729356,0.1753429948025771
2816,0,0.6344850860486049,0.3112975619405963,0.11666748017448869
2818,2,0.6138984468360164,0.3585383974813102,0.18297134351664832
2830,0,0.7208706834165164,0.25638869023103417,0.16224249466424706
2832,1,0.6038724033078997,0.4192363044291404,0.18459793152161777
2839,1,0.6985070678777223,0.26127295376164006,0.3056225312677057
2843,3,0.42273596164085964,0.5229220140506917,0.24825582681027997
2866,3,0.5713845597989604,0.4645170728108413,0.16387447223693882
2872,1,0.6055444016921431,0.35659855554756237,0.12005243209295814
2883,0,0.7956548133887149,0.2585119587123803,0.15073095738079872
