track_name,track_uri,previewUrl
Aquamaria,spotify:track:6s5BwPPzz4bdY5aUHWzqAE,https://p.scdn.co/mp3-preview/ff3004f42ae24b909126e1cbfa045cd9622bbe40
Uitzicht - Original Mix,spotify:track:0mPzNi0cTERyqMT9gjhxHA,https://p.scdn.co/mp3-preview/ff2e6189d39de0f82cd1ef43d0144fe2c45880a8
Spoonman - Steve Aoki Remix,spotify:track:0hwf50U1Ur208CGCPcK49H,https://p.scdn.co/mp3-preview/ff2ca24ec706385477bf098a9dbc3c343167660e
Micaela,spotify:track:1m3paVx65imhvCjPx505Oy,https://p.scdn.co/mp3-preview/ff2b71cf0c48ec6f1eb5b922dcf9d3b094c92417
Spanish Ladies - From Turn,spotify:track:0UWdfLXwDzYY2I02R7rqoB,https://p.scdn.co/mp3-preview/ff2a388ded9c64c34cd5a29b5efe355b8eb89c25
Girlie 'O' Remix,spotify:track:1aj6wMbUFHqnt5k6yVi34m,https://p.scdn.co/mp3-preview/ff293de88fec7057d39f9cc766a1f9d2ac8f6088
Rhythm Nation,spotify:track:4nTYxxF8iWBq54LO3dBUie,https://p.scdn.co/mp3-preview/ff25e0292b4a156bb4e089594bd1de37bf1741fd
Me You,spotify:track:4f1QbCjIAgQwnf7ms9NXWx,https://p.scdn.co/mp3-preview/ff25191d79a7249590243266a482db1bcd641ea4
Stamina,spotify:track:7MZ1DH5hklfz2vepNNCZRg,https://p.scdn.co/mp3-preview/ff24ab76fdd7eb52c1e8671af3ca38c704f693e9
Pompeii - Kat Krazy Remix,spotify:track:5o1TaTsFtDddxLa2BKw29y,https://p.scdn.co/mp3-preview/ff2204369bd79f2a27b76833075cbe032cf1ab5b
Interlude: Holiday,spotify:track:6IAaP75vqVa1fVb7ZOua94,https://p.scdn.co/mp3-preview/ff2124840e55a07026e577f6a1e5fa34b26d6d61
Reminder,spotify:track:2dFjeuAs19gRJaFCDnqBiM,https://p.scdn.co/mp3-preview/ff1ea44b9cacf0598c42ca351ddaf82d839ce255
